column_name,total_rows,missing_rows,pct_missing
source_type,3136980,3136980,100.0
sector_id,3136980,3136980,100.0
lat_lon,3136980,3136980,100.0
other10,3136980,3136980,100.0
other6,3136980,1997630,63.68
other9,3136980,1996260,63.64
other2,3136980,539990,17.21
other1,3136980,497805,15.87
lat,3136980,496705,15.83
lon,3136980,496705,15.83
other5,3136980,288710,9.2
other8,3136980,285180,9.09
other4,3136980,60844,1.94
other7,3136980,57036,1.82
other3_def,3136980,0,0.0
other8_def,3136980,0,0.0
other10_def,3136980,0,0.0
other7_def,3136980,0,0.0
other6_def,3136980,0,0.0
created_date,3136980,0,0.0
other5_def,3136980,0,0.0
modified_date,3136980,0,0.0
native_source_id,3136980,0,0.0
other4_def,3136980,0,0.0
other9_def,3136980,0,0.0
source_id,3136980,0,0.0
other3,3136980,0,0.0
temporal_granularity,3136980,0,0.0
iso3_country,3136980,0,0.0
sector,3136980,0,0.0
subsector,3136980,0,0.0
start_time,3136980,0,0.0
end_time,3136980,0,0.0
geometry_ref,3136980,0,0.0
gas,3136980,0,0.0
emissions_quantity,3136980,0,0.0
activity,3136980,0,0.0
other2_def,3136980,0,0.0
activity_units,3136980,0,0.0
emissions_factor,3136980,0,0.0
emissions_factor_units,3136980,0,0.0
capacity,3136980,0,0.0
capacity_units,3136980,0,0.0
capacity_factor,3136980,0,0.0
other1_def,3136980,0,0.0
source_name,3136980,0,0.0
reporting_entity,3136980,0,0.0
