iso3_country,geometry_ref,total_emissions,n_sources,latest_end_time
RUS,ghs-fua_2262,34828929.845199995,1,2025-07-31 00:00:00
USA,ghs-fua_7244,33002579.2438,1,2025-07-31 00:00:00
USA,ghs-fua_1642,30687454.146800008,1,2025-07-31 00:00:00
USA,ghs-fua_6654,23615099.8704,1,2025-07-31 00:00:00
CAN,ghs-fua_2626,21538073.65619999,1,2025-07-31 00:00:00
KOR,ghs-fua_94,20727008.4638,1,2025-07-31 00:00:00
USA,gadm_USA.5.19_1,19976424.7574,1,2025-07-31 00:00:00
USA,ghs-fua_5543,17370058.765600007,1,2025-07-31 00:00:00
RUS,ghs-fua_750,15210207.562400002,1,2025-07-31 00:00:00
JPN,ghs-fua_5129,14288019.9362,1,2025-07-31 00:00:00
GBR,ghs-fua_5288,14108182.3734,1,2025-07-31 00:00:00
USA,gadm_USA.14.16_1,13798172.8382,1,2025-07-31 00:00:00
RUS,gadm_RUS.14.1_1,13717670.244399998,1,2025-07-31 00:00:00
USA,ghs-fua_5511,12859277.4256,1,2025-07-31 00:00:00
USA,ghs-fua_6451,12734783.635000002,1,2025-07-31 00:00:00
IRN,ghs-fua_4686,12184462.422199996,1,2025-07-31 00:00:00
USA,ghs-fua_7165,11730798.835000005,1,2025-07-31 00:00:00
DEU,ghs-fua_536,11369664.636200001,1,2025-07-31 00:00:00
USA,ghs-fua_7068,10911418.6586,1,2025-07-31 00:00:00
CAN,ghs-fua_3485,10743781.183200004,1,2025-07-31 00:00:00
USA,ghs-fua_1255,10233055.0558,1,2025-07-31 00:00:00
USA,gadm_USA.44.101_1,10037785.415000001,1,2025-07-31 00:00:00
GBR,gadm_GBR.1.36_1,9658210.264999999,1,2025-07-31 00:00:00
FRA,ghs-fua_2702,9588651.25,1,2025-07-31 00:00:00
JPN,ghs-fua_3956,9291870.5608,1,2025-07-31 00:00:00
CHN,ghs-fua_10097,9222393.022599999,1,2025-07-31 00:00:00
CHN,gadm_CHN.24.1_1,8978237.600800002,1,2025-07-31 00:00:00
USA,ghs-fua_6948,8618918.2998,1,2025-07-31 00:00:00
USA,ghs-fua_6433,8152924.849600001,1,2025-07-31 00:00:00
CAN,gadm_CAN.9.50_1,8042248.193600001,1,2025-07-31 00:00:00
USA,ghs-fua_4510,7947559.952199999,1,2025-07-31 00:00:00
USA,gadm_USA.44.57_1,7716501.311999999,1,2025-07-31 00:00:00
USA,ghs-fua_5332,7431998.8960000025,1,2025-07-31 00:00:00
DEU,ghs-fua_4946,7429088.070400001,1,2025-07-31 00:00:00
USA,ghs-fua_4211,6894926.509200002,1,2025-07-31 00:00:00
USA,gadm_USA.3.8_1,6757016.766599996,1,2025-07-31 00:00:00
ESP,gadm_ESP.6.1_1,6756187.0605999995,1,2025-07-31 00:00:00
CHN,gadm_CHN.3.1_1,6721637.087200001,1,2025-07-31 00:00:00
ESP,ghs-fua_3147,6627634.514399998,1,2025-07-31 00:00:00
USA,ghs-fua_6442,6578149.470000002,1,2025-07-31 00:00:00
ESP,gadm_ESP.8.1_1,6559803.878199999,1,2025-07-31 00:00:00
NLD,ghs-fua_296,6385167.930399997,1,2025-07-31 00:00:00
CHN,gadm_CHN.2.1_1,6139091.476400001,1,2025-07-31 00:00:00
TUR,ghs-fua_1637,6011336.376399999,1,2025-07-31 00:00:00
ESP,ghs-fua_4523,5755178.139399999,1,2025-07-31 00:00:00
CHN,ghs-fua_7704,5714851.171000002,1,2025-07-31 00:00:00
DEU,gadm_DEU.3.1_1,5689763.962999999,1,2025-07-31 00:00:00
DEU,ghs-fua_3093,5554501.910800002,1,2025-07-31 00:00:00
ITA,gadm_ITA.8.4_1,5454278.040000001,1,2025-07-31 00:00:00
USA,gadm_USA.5.30_1,5452369.499199999,1,2025-07-31 00:00:00
