iso3_country,geometry_ref,combined_emissions,res_emissions,nonres_emissions,res_share,priority_score,priority_rank_global,priority_score_country,priority_rank_country,latest_end_time
ABW,gadm_ABW,198635.28499999997,172287.00319999995,26348.281800000015,0.8673534674365633,14.888088540384986,20326,0.0,1,2025-07-31T00:00:00
AFG,gadm_AFG.12.11_1,727176.2916000001,712457.9772000001,14718.3144,0.9797596338466764,17.38209364285836,3769,1.2878557803080057,1,2025-07-31T00:00:00
AFG,ghs-fua_2352,554832.6985999999,546947.8505999999,7884.848000000003,0.9857887827810154,17.081572669177227,4726,1.2569712723567683,2,2025-07-31T00:00:00
AFG,gadm_AFG.23.5_1,399594.3213999999,396892.1191999999,2702.2021999999993,0.9932376361342355,16.715336478848375,6267,1.219312979327393,3,2025-07-31T00:00:00
AFG,gadm_AFG.14.6_1,340895.42600000004,335198.867,5696.559,0.9832894237777188,16.433405199438813,7737,1.1934564982369482,4,2025-07-31T00:00:00
AFG,ghs-fua_784,276641.363,274010.6976,2630.6654000000003,0.9904907011320646,16.218131443093018,9066,1.1707569729342284,5,2025-07-31T00:00:00
AFG,gadm_AFG.15.13_1,116945.0374,114665.4478,2279.5896,0.9805071711405516,15.033825690897299,18936,1.0557875197563527,6,2025-07-31T00:00:00
AFG,ghs-fua_1,102940.088,102737.8882,202.1998,0.9980357526020378,14.990883082602954,19336,1.0480444435298801,7,2025-07-31T00:00:00
AFG,gadm_AFG.14.3_1,101749.499,100736.4624,1013.0365999999998,0.9900438173164862,14.920484171196485,20013,1.0426884169061041,8,2025-07-31T00:00:00
AFG,gadm_AFG.12.5_1,91947.27039999998,91947.27039999998,0.0,1.0,14.857675845522383,20621,1.0344962395538904,9,2025-07-31T00:00:00
AFG,gadm_AFG.12.10_1,88601.6886,88025.5796,576.1089999999999,0.9934977650076072,14.76504897126957,21543,1.0266473182373326,10,2025-07-31T00:00:00
AFG,gadm_AFG.14.1_1,70588.57160000001,70351.39280000002,237.17879999999997,0.9966399830082412,14.491520988549299,24272,0.9990054564403186,11,2025-07-31T00:00:00
AFG,gadm_AFG.15.5_1,65134.86859999999,64977.88899999999,156.97959999999995,0.9975899298889505,14.39347158564897,25303,0.9891321441662291,12,2025-07-31T00:00:00
AFG,ghs-fua_1559,62884.618400000014,62730.661600000014,153.9568,0.9975517574262645,14.347564120313773,25742,0.9846058716790207,13,2025-07-31T00:00:00
AFG,gadm_AFG.1.2_1,59483.047,59138.5204,344.5266,0.9942079866890478,14.253297897378113,26776,0.975964023805617,14,2025-07-31T00:00:00
AFG,gadm_AFG.12.8_1,58249.35820000002,58102.169000000016,147.1892,0.9974731189398752,14.24762144716532,26833,0.9747510753449485,15,2025-07-31T00:00:00
AFG,gadm_AFG.1.3_1,53113.99459999999,52847.95659999999,266.038,0.9949911882545548,14.11158074914903,28199,0.9618113248277957,16,2025-07-31T00:00:00
AFG,gadm_AFG.12.7_1,51890.65219999998,51806.30539999998,84.34679999999999,0.9983745280426444,14.103398611190533,28296,0.9603272940207158,17,2025-07-31T00:00:00
AFG,ghs-fua_2745,51251.64440000002,50807.20340000002,444.441,0.9913282587280264,14.041454705863616,28871,0.9556173658378859,18,2025-07-31T00:00:00
AFG,ghs-fua_1988,48103.15279999999,48093.09979999999,10.053000000000006,0.9997910116195128,14.014109048154678,29131,0.9512259101323477,19,2025-07-31T00:00:00
AFG,ghs-fua_1465,47636.87499999999,47525.480599999995,111.39439999999996,0.9976615930411052,13.987685715467292,29403,0.9490417283722026,20,2025-07-31T00:00:00
AFG,gadm_AFG.2.5_1,46062.4816,46050.054,12.427599999999998,0.999730201249079,13.95737026345288,29673,0.9456344410088172,21,2025-07-31T00:00:00
AFG,gadm_AFG.6.1_1,45221.2682,45221.2682,0.0,1.0,13.935148374934293,29901,0.94338586731893,22,2025-07-31T00:00:00
AFG,gadm_AFG.13.4_1,44381.55980000001,44381.55980000001,0.0,1.0,13.910782436145338,30126,0.9409794460212523,23,2025-07-31T00:00:00
