iso3_country,geometry_ref,combined_emissions,res_emissions,nonres_emissions,res_share,priority_score,priority_rank_global,priority_score_country,priority_rank_country,latest_end_time
IRN,ghs-fua_4686,139363759.7324,127179297.3102,12184462.422199996,0.9125707971312196,23.394662653498596,1,1.2475424782787317,1,2025-07-31T00:00:00
JPN,ghs-fua_5129,141611909.91039997,127323889.97419998,14288019.9362,0.8991043906883238,23.262979456619334,2,1.2394626344129942,1,2025-07-31T00:00:00
IRN,gadm_IRN.7.16_1,52548049.841000006,51822085.06300001,725964.7780000002,0.9861847436737116,22.96305186749885,3,1.1839448297730157,2,2025-07-31T00:00:00
IRN,gadm_IRN.28.8_1,69023907.88280001,63773609.52040002,5250298.3624,0.9239350752015548,22.641171090402693,4,1.1789727596841655,3,2025-07-31T00:00:00
IRN,gadm_IRN.24.9_1,50608686.8728,47696467.3942,2912219.478600001,0.9424561343407392,22.449039698480945,5,1.155826103651729,4,2025-07-31T00:00:00
USA,ghs-fua_7244,164743159.5435999,131740580.2997999,33002579.2438,0.7996725367218313,22.321762552138612,6,1.1798035220330987,1,2025-07-31T00:00:00
CHN,gadm_CHN.3.1_1,66350078.3466,59628441.259399995,6721637.087200001,0.8986943609608498,22.31885574583063,7,1.2392166165765097,1,2025-07-31T00:00:00
ARG,ghs-fua_4215,44452266.83659999,41986084.09919999,2466182.7374000004,0.9445206529856998,22.306712164941583,8,1.2667123917914198,1,2025-07-31T00:00:00
KOR,ghs-fua_94,118406625.42900002,97679616.96520002,20727008.4638,0.8249506023104383,22.21406314712602,9,1.1949703613862628,1,2025-07-31T00:00:00
IRN,ghs-fua_6030,38305602.972200006,36378621.03340001,1926981.9388,0.9496945149199584,22.172405122241592,10,1.1295404004243725,5,2025-07-31T00:00:00
JPN,ghs-fua_3956,66615274.7986,57323404.237799995,9291870.5608,0.860514415216444,21.911124624887925,11,1.1674351645780858,2,2025-07-31T00:00:00
CHN,gadm_CHN.2.1_1,51498375.53140001,45359284.05500001,6139091.476400001,0.8807905800318532,21.81409373996664,12,1.2014944730304649,2,2025-07-31T00:00:00
CHN,gadm_CHN.10.1_1,25827040.140199997,24734992.5888,1092047.5514,0.9577168910772622,21.754026607142823,13,1.1703952739646615,7,2025-07-31T00:00:00
KAZ,ghs-fua_2583,27650999.624600008,26103028.039800007,1547971.5847999996,0.9440175181434368,21.7001625272137,14,1.266410510886062,1,2025-07-31T00:00:00
CHN,gadm_CHN.12.8_1,24412699.52220001,23250629.99800001,1162069.5242,0.952398974839171,21.627964687510246,15,1.161259286547823,8,2025-07-31T00:00:00
CHN,gadm_CHN.11.3_1,33695332.813599996,30735428.281,2959904.5326,0.9121568393767184,21.619186454163405,16,1.1740438063787464,6,2025-07-31T00:00:00
FJI,gadm_FJI.3.2_1,20549481.2168,19948961.543,600519.6737999998,0.9707768937101414,21.594608922781205,17,1.2824661362260847,1,2025-07-31T00:00:00
ITA,gadm_ITA.8.4_1,44340401.49139999,38886123.45139999,5454278.040000001,0.8769907836522888,21.590104901004178,18,1.2261944701913732,1,2025-07-31T00:00:00
TUR,ghs-fua_1637,46626008.73440001,40614672.35800001,6011336.376399999,0.8710733228176805,21.589043058149283,19,1.2226439936906082,1,2025-07-31T00:00:00
CHN,ghs-fua_7704,45119501.7966,39404650.625599995,5714851.171000002,0.8733396659217845,21.5728529445682,20,1.1830937171945686,4,2025-07-31T00:00:00
ITA,ghs-fua_3881,41561314.4756,36579250.7544,4982063.7212,0.8801273784513026,21.543752237573536,21,1.2147754988369737,2,2025-07-31T00:00:00
CHN,ghs-fua_10153,21914952.9442,20925343.9542,989608.99,0.9548432071691074,21.51552124160239,22,1.1506909245025057,10,2025-07-31T00:00:00
EGY,ghs-fua_3981,19704568.36979999,19027376.638799995,677191.7309999999,0.9656327548875472,21.48892265322156,23,1.279379652932528,1,2025-07-31T00:00:00
CHN,gadm_CHN.24.1_1,56012676.275400005,47034438.674600005,8978237.600800002,0.8397106119933226,21.47757287976798,24,1.1861550558173695,3,2025-07-31T00:00:00
RUS,ghs-fua_2262,135267710.94079995,100438781.09559996,34828929.845199995,0.7425185241698745,21.44713703310466,25,1.1455111145019248,1,2025-07-31T00:00:00
IRN,ghs-fua_5291,19677191.446,18888470.680200003,788720.7658,0.9599170050276492,21.42954637531057,26,1.0622939828538054,7,2025-07-31T00:00:00
GBR,ghs-fua_5288,72451862.329,58343679.9556,14108182.3734,0.8052750899716629,21.41343339264719,27,1.1831650539829976,1,2025-07-31T00:00:00
CHN,ghs-fua_10097,55669067.05200001,46446674.029400006,9222393.0226,0.8343354126271697,21.412645474903574,28,1.1823369703427253,5,2025-07-31T00:00:00
CHN,gadm_CHN.11.12_1,19331751.9526,18549554.9712,782196.9814,0.9595382258515478,21.403134780846916,29,1.1393698957220535,13,2025-07-31T00:00:00
JPN,ghs-fua_4532,37290663.01380001,32759994.192600004,4530668.821200002,0.8785039348985735,21.393613703152507,30,1.1398619359816444,3,2025-07-31T00:00:00
CHN,gadm_CHN.12.17_1,18154281.0162,17477644.824600004,676636.1915999999,0.962728560222451,21.354959886683137,31,1.1341206510849855,15,2025-07-31T00:00:00
CHN,gadm_CHN.14.7_1,15637834.121599996,15342178.132599996,295655.98899999994,0.981093546158568,21.346851466076174,32,1.1272363008901112,18,2025-07-31T00:00:00
CHN,gadm_CHN.10.8_1,23253281.103400003,21631781.589600004,1621499.5138000003,0.9302679262083616,21.340868443652038,33,1.1438254446090537,11,2025-07-31T00:00:00
IRN,gadm_IRN.6.16_1,18592195.527600005,17765875.336800005,826320.1908,0.9555555346019606,21.31337465118244,34,1.0539377353697912,8,2025-07-31T00:00:00
