iso3_country,geometry_ref,total_emissions,n_sources,latest_end_time
USA,ghs-fua_7244,131740580.2997999,1,2025-07-31 00:00:00
JPN,ghs-fua_5129,127323889.97419998,1,2025-07-31 00:00:00
IRN,ghs-fua_4686,127179297.3102,1,2025-07-31 00:00:00
RUS,ghs-fua_2262,100438781.09559996,1,2025-07-31 00:00:00
KOR,ghs-fua_94,97679616.96520002,1,2025-07-31 00:00:00
USA,ghs-fua_1642,75006341.96899998,1,2025-07-31 00:00:00
IRN,gadm_IRN.28.8_1,63773609.52040002,1,2025-07-31 00:00:00
CHN,gadm_CHN.3.1_1,59628441.259399995,1,2025-07-31 00:00:00
GBR,ghs-fua_5288,58343679.9556,1,2025-07-31 00:00:00
JPN,ghs-fua_3956,57323404.237799995,1,2025-07-31 00:00:00
USA,ghs-fua_6654,55509369.4174,1,2025-07-31 00:00:00
IRN,gadm_IRN.7.16_1,51822085.06300001,1,2025-07-31 00:00:00
IRN,gadm_IRN.24.9_1,47696467.3942,1,2025-07-31 00:00:00
CHN,gadm_CHN.24.1_1,47034438.674600005,1,2025-07-31 00:00:00
CHN,ghs-fua_10097,46446674.029400006,1,2025-07-31 00:00:00
CAN,ghs-fua_2626,46405211.809399985,1,2025-07-31 00:00:00
CHN,gadm_CHN.2.1_1,45359284.05500001,1,2025-07-31 00:00:00
USA,gadm_USA.5.19_1,45188107.80780001,1,2025-07-31 00:00:00
ARG,ghs-fua_4215,41986084.09919999,1,2025-07-31 00:00:00
TUR,ghs-fua_1637,40614672.35800001,1,2025-07-31 00:00:00
USA,ghs-fua_7165,40108965.78559999,1,2025-07-31 00:00:00
GBR,gadm_GBR.1.36_1,39891383.27299998,1,2025-07-31 00:00:00
CHN,ghs-fua_7704,39404650.625599995,1,2025-07-31 00:00:00
ITA,gadm_ITA.8.4_1,38886123.45139999,1,2025-07-31 00:00:00
USA,ghs-fua_7068,38200876.1794,1,2025-07-31 00:00:00
USA,ghs-fua_5543,38139983.0432,1,2025-07-31 00:00:00
USA,ghs-fua_5511,37730752.76099999,1,2025-07-31 00:00:00
FRA,ghs-fua_2702,36891130.05379999,1,2025-07-31 00:00:00
ITA,ghs-fua_3881,36579250.7544,1,2025-07-31 00:00:00
IRN,ghs-fua_6030,36378621.03340001,1,2025-07-31 00:00:00
JPN,ghs-fua_4532,32759994.192600004,1,2025-07-31 00:00:00
USA,ghs-fua_6451,32607652.449600004,1,2025-07-31 00:00:00
USA,gadm_USA.14.16_1,31739752.432599995,1,2025-07-31 00:00:00
CHN,gadm_CHN.11.3_1,30735428.281,1,2025-07-31 00:00:00
DEU,ghs-fua_536,30503456.07800001,1,2025-07-31 00:00:00
RUS,ghs-fua_750,30131845.57780001,1,2025-07-31 00:00:00
USA,ghs-fua_6442,29555093.87800001,1,2025-07-31 00:00:00
CHN,gadm_CHN.27.1_1,29541449.526599996,1,2025-07-31 00:00:00
USA,ghs-fua_4510,29534935.545999996,1,2025-07-31 00:00:00
