iso3_country,latest_end_time,total_emissions
USA,2025-12-31 00:00:00,1260854252.1376057
CHN,2025-12-31 00:00:00,575131445.1090897
RUS,2025-12-31 00:00:00,448975492.61458105
DEU,2025-12-31 00:00:00,325200571.08983576
CAN,2025-12-31 00:00:00,210160069.93404356
GBR,2025-12-31 00:00:00,192693892.6980328
FRA,2025-12-31 00:00:00,141516386.3479169
JPN,2025-12-31 00:00:00,130791151.71419741
ITA,2025-12-31 00:00:00,125043870.65655173
IND,2025-12-31 00:00:00,113072693.61768967
ESP,2025-12-31 00:00:00,111577350.39154565
KOR,2025-12-31 00:00:00,98259009.3878959
POL,2025-12-31 00:00:00,90758356.04759397
TUR,2025-12-31 00:00:00,77019196.72952974
IRN,2025-12-31 00:00:00,72872834.70782728
NLD,2025-12-31 00:00:00,72443041.93889609
BEL,2025-12-31 00:00:00,55350528.90496303
UKR,2025-12-31 00:00:00,38898394.853412695
CZE,2025-12-31 00:00:00,31292077.33265798
CHE,2025-12-31 00:00:00,30557121.344917934
AUS,2025-12-31 00:00:00,27473849.741336197
KAZ,2025-12-31 00:00:00,26197435.8569157
TWN,2025-12-31 00:00:00,25582412.13194643
HUN,2025-12-31 00:00:00,21303084.32081512
BRA,2025-12-31 00:00:00,20462733.56011397
IDN,2025-12-31 00:00:00,20279114.61901425
AUT,2025-12-31 00:00:00,18329536.04887136
ARG,2025-12-31 00:00:00,17249408.070790395
ROU,2025-12-31 00:00:00,17063369.212324176
IRL,2025-12-31 00:00:00,16655012.941638092
DZA,2025-12-31 00:00:00,16617181.340190109
MEX,2025-12-31 00:00:00,15847825.865991907
ZAF,2025-12-31 00:00:00,15812223.679143798
FIN,2025-12-31 00:00:00,15705312.095472133
OMN,2025-12-31 00:00:00,14542117.808623452
MYS,2025-12-31 00:00:00,12951805.973257588
PHL,2025-12-31 00:00:00,12618026.548792385
DNK,2025-12-31 00:00:00,10978786.592753174
GRC,2025-12-31 00:00:00,10439177.326789629
TKM,2025-12-31 00:00:00,10209246.484961199
SVK,2025-12-31 00:00:00,10026599.094941076
BLR,2025-12-31 00:00:00,9662620.455857305
NOR,2025-12-31 00:00:00,9311714.343590414
SWE,2025-12-31 00:00:00,8973926.32586683
THA,2025-12-31 00:00:00,8622004.542766076
COL,2025-12-31 00:00:00,8341915.246915047
VNM,2025-12-31 00:00:00,8191946.735683739
PRK,2025-12-31 00:00:00,7879561.60798608
NGA,2025-12-31 00:00:00,7254776.636496173
UZB,2025-12-31 00:00:00,7180702.034090754
PAK,2025-12-31 00:00:00,7091248.977304995
CHL,2025-12-31 00:00:00,6836426.397163646
HKG,2025-12-31 00:00:00,6293255.256998563
MAR,2025-12-31 00:00:00,6212196.443836178
LUX,2025-12-31 00:00:00,6035498.958326023
PRT,2025-12-31 00:00:00,6034719.200783793
CUB,2025-12-31 00:00:00,5334675.812664426
EGY,2025-12-31 00:00:00,5270164.329636505
SGP,2025-12-31 00:00:00,4943658.962335817
SAU,2025-12-31 00:00:00,4896218.922766456
HRV,2025-12-31 00:00:00,4490488.463214238
IRQ,2025-12-31 00:00:00,4330149.440652159
BGD,2025-12-31 00:00:00,4244511.905738638
BGR,2025-12-31 00:00:00,4028893.87419168
AZE,2025-12-31 00:00:00,3484943.444018914
LVA,2025-12-31 00:00:00,3438274.139541601
VEN,2025-12-31 00:00:00,3055932.165181989
LTU,2025-12-31 00:00:00,3054995.4490437163
ECU,2025-12-31 00:00:00,2950521.379882662
EST,2025-12-31 00:00:00,2666156.2530384758
SVN,2025-12-31 00:00:00,2642187.022958324
ARE,2025-12-31 00:00:00,2376250.546143256
FJI,2025-12-31 00:00:00,2172473.6541815833
SRB,2025-12-31 00:00:00,2147041.29479715
AGO,2025-12-31 00:00:00,2083983.7775294061
NZL,2025-12-31 00:00:00,1959399.4432000984
PER,2025-12-31 00:00:00,1937527.9670994214
MMR,2025-12-31 00:00:00,1923301.701355662
TUN,2025-12-31 00:00:00,1909581.5193858144
ZWE,2025-12-31 00:00:00,1871741.3006387048
ISR,2025-12-31 00:00:00,1483191.7926019945
BIH,2025-12-31 00:00:00,1408138.1501445791
KEN,2025-12-31 00:00:00,1348733.3611635305
ISL,2025-12-31 00:00:00,1323702.1572346948
GTM,2025-12-31 00:00:00,1315417.8921176707
GEO,2025-12-31 00:00:00,1272591.898293736
MDA,2025-12-31 00:00:00,1222040.7923053757
CMR,2025-12-31 00:00:00,1162057.4832414682
SYR,2025-12-31 00:00:00,1128243.1653014033
QAT,2025-12-31 00:00:00,1123625.133190226
KWT,2025-12-31 00:00:00,1072398.3080906759
BOL,2025-12-31 00:00:00,1058019.727443919
ETH,2025-12-31 00:00:00,1046639.0573460833
MDV,2025-12-31 00:00:00,1005182.3186
TZA,2025-12-31 00:00:00,979640.7310528175
KHM,2025-12-31 00:00:00,929292.2032519804
JOR,2025-12-31 00:00:00,928957.4343481926
KGZ,2025-12-31 00:00:00,876203.1513881263
DOM,2025-12-31 00:00:00,858570.5756401357
