iso3_country,latest_end_time,total_emissions
CHN,2025-12-31 00:00:00,795485547.0026675
IND,2025-12-31 00:00:00,427385833.72392184
RUS,2025-12-31 00:00:00,148509025.66883507
TKM,2025-12-31 00:00:00,126542221.41506234
AUS,2025-12-31 00:00:00,102899145.72074501
COL,2025-12-31 00:00:00,44495569.58914487
PRK,2025-12-31 00:00:00,43011610.815367185
DZA,2025-12-31 00:00:00,37584406.65804402
KOR,2025-12-31 00:00:00,36364856.01678835
GBR,2025-12-31 00:00:00,29544708.30015942
JPN,2025-12-31 00:00:00,29533299.247435827
OMN,2025-12-31 00:00:00,29250222.326769695
USA,2025-12-31 00:00:00,28712301.210602537
ZAF,2025-12-31 00:00:00,28138377.873825215
ECU,2025-12-31 00:00:00,27288040.62792358
CUB,2025-12-31 00:00:00,24124747.358246658
UZB,2025-12-31 00:00:00,21905413.10078663
FRA,2025-12-31 00:00:00,18611208.828597866
MNG,2025-12-31 00:00:00,16419250.251405837
MMR,2025-12-31 00:00:00,15678529.109471153
TJK,2025-12-31 00:00:00,15054554.035422865
NGA,2025-12-31 00:00:00,11071910.117306126
ISR,2025-12-31 00:00:00,10682310.629371656
ROU,2025-12-31 00:00:00,9476998.24991005
PAK,2025-12-31 00:00:00,8757839.873127539
GRC,2025-12-31 00:00:00,8030847.491394687
IDN,2025-12-31 00:00:00,7747070.497589266
JOR,2025-12-31 00:00:00,7012716.715207428
ESP,2025-12-31 00:00:00,6168520.998414446
CHE,2025-12-31 00:00:00,5630723.057805805
ETH,2025-12-31 00:00:00,5501201.784013977
FIN,2025-12-31 00:00:00,5372385.099396629
TWN,2025-12-31 00:00:00,4993903.939401479
LKA,2025-12-31 00:00:00,4620075.798159462
KHM,2025-12-31 00:00:00,4494733.2223383505
ARM,2025-12-31 00:00:00,4216421.293029671
NAM,2025-12-31 00:00:00,3402169.5357932015
ITA,2025-12-31 00:00:00,2981122.7921027555
SYR,2025-12-31 00:00:00,2554160.673737984
NLD,2025-12-31 00:00:00,2386513.633848876
DEU,2025-12-31 00:00:00,2382359.86202745
MDG,2025-12-31 00:00:00,1973926.271676828
ZMB,2025-12-31 00:00:00,1750946.211784611
SDN,2025-12-31 00:00:00,1688699.6979049842
CZE,2025-12-31 00:00:00,1503192.10183851
NOR,2025-12-31 00:00:00,1382829.7219199091
BIH,2025-12-31 00:00:00,1368720.877023317
MLI,2025-12-31 00:00:00,1337574.8489060758
CMR,2025-12-31 00:00:00,1269172.2194626608
BEL,2025-12-31 00:00:00,1211916.2727421762
BFA,2025-12-31 00:00:00,1140565.5815717543
EGY,2025-12-31 00:00:00,1129485.2539748112
MWI,2025-12-31 00:00:00,998976.7335010931
MRT,2025-12-31 00:00:00,969929.084063501
PRT,2025-12-31 00:00:00,902009.5229602266
DNK,2025-12-31 00:00:00,857111.8048192319
MOZ,2025-12-31 00:00:00,855928.4097769863
GIN,2025-12-31 00:00:00,773001.0998511122
HUN,2025-12-31 00:00:00,761929.6191427102
POL,2025-12-31 00:00:00,721003.518919926
KEN,2025-12-31 00:00:00,696619.4356208722
REU,2025-12-31 00:00:00,665751.875333794
KGZ,2025-12-31 00:00:00,640218.7733105684
SVN,2025-12-31 00:00:00,606180.9596494781
PNG,2025-12-31 00:00:00,560911.1238577722
LBN,2025-12-31 00:00:00,535726.0990025261
EST,2025-12-31 00:00:00,449853.8915532469
AFG,2025-12-31 00:00:00,447420.08297011914
ZWE,2025-12-31 00:00:00,433558.28602745495
TCD,2025-12-31 00:00:00,418569.0409011572
PRI,2025-12-31 00:00:00,369269.7144304878
