iso3_country,latest_end_time,total_emissions
CHN,2025-12-31 00:00:00,7047334766.115213
USA,2025-12-31 00:00:00,4975291665.254329
IND,2025-12-31 00:00:00,2501049471.1091876
RUS,2025-12-31 00:00:00,2031169072.6273
IRN,2025-12-31 00:00:00,1641086863.1607459
JPN,2025-12-31 00:00:00,1178488930.862846
DEU,2025-12-31 00:00:00,1084674885.0629697
CAN,2025-12-31 00:00:00,775801102.3495455
GBR,2025-12-31 00:00:00,725884524.4996397
TUR,2025-12-31 00:00:00,657567233.7906635
FRA,2025-12-31 00:00:00,652581502.7248348
ITA,2025-12-31 00:00:00,589475375.080262
NGA,2025-12-31 00:00:00,502458286.0247073
KOR,2025-12-31 00:00:00,492497059.2675731
POL,2025-12-31 00:00:00,477159003.45896
BRA,2025-12-31 00:00:00,472769878.80229074
ARG,2025-12-31 00:00:00,418071230.94240266
KAZ,2025-12-31 00:00:00,393303509.6371187
IDN,2025-12-31 00:00:00,375304108.5049174
PAK,2025-12-31 00:00:00,358906294.0513555
UZB,2025-12-31 00:00:00,358209862.46544844
MEX,2025-12-31 00:00:00,343907540.8209777
ZAF,2025-12-31 00:00:00,307423085.4687247
DZA,2025-12-31 00:00:00,296432253.15193754
TKM,2025-12-31 00:00:00,256910290.6384022
NLD,2025-12-31 00:00:00,234611506.3026992
ESP,2025-12-31 00:00:00,230188617.42798647
UKR,2025-12-31 00:00:00,223114801.13336986
ETH,2025-12-31 00:00:00,206404202.8048992
AUS,2025-12-31 00:00:00,204187104.80840382
EGY,2025-12-31 00:00:00,203120193.56227905
BEL,2025-12-31 00:00:00,191124499.7638626
BGD,2025-12-31 00:00:00,180096070.15613014
VNM,2025-12-31 00:00:00,179661735.83620226
OMN,2025-12-31 00:00:00,168720200.51207256
THA,2025-12-31 00:00:00,167615165.791504
PHL,2025-12-31 00:00:00,134615347.7753759
ROU,2025-12-31 00:00:00,117212605.12239148
MMR,2025-12-31 00:00:00,112487763.4278893
MAR,2025-12-31 00:00:00,112377765.44909434
PRK,2025-12-31 00:00:00,110584333.62876785
COL,2025-12-31 00:00:00,109975059.74982394
HUN,2025-12-31 00:00:00,104348749.74743354
CZE,2025-12-31 00:00:00,102834213.34560804
IRQ,2025-12-31 00:00:00,100547844.78468508
CHE,2025-12-31 00:00:00,93838740.84661427
AZE,2025-12-31 00:00:00,93478705.72229424
TWN,2025-12-31 00:00:00,89177983.24744235
AGO,2025-12-31 00:00:00,85864326.0919293
CHL,2025-12-31 00:00:00,81281182.19403006
AUT,2025-12-31 00:00:00,80538934.18487333
COD,2025-12-31 00:00:00,76182232.0821866
IRL,2025-12-31 00:00:00,74421825.77280727
TZA,2025-12-31 00:00:00,73541701.85411158
FJI,2025-12-31 00:00:00,71251477.66018265
BLR,2025-12-31 00:00:00,70210584.642641
NPL,2025-12-31 00:00:00,69275413.1588154
ECU,2025-12-31 00:00:00,67379526.30860624
